,japones,portugues
0,watashi,eu
1,anata,você
2,kare,ele
3,kanojo,ela
4,watashitachi,nós
5,kore,isto
6,sore,isso
7,are,aquilo
8,kono,este
9,sono,esse
10,ano,aquele
11,,o que
12,dare,quem
13,itsu,quando
14,doko,onde
15,naze,por que
16,dou,como
17,hai,sim
18,iie,não
19,arigatou,obrigado
20,sumimasen,desculpe
21,konnichiwa,olá
22,ohayou,bom dia
23,konbanwa,boa noite
24,oyasumi,boa noite (ao dormir)
25,sayounara,adeus
26,hito,pessoa
27,otoko,homem
28,onna,mulher
29,kodomo,criança
30,kazoku,família
31,tomodachi,amigo
32,sensei,professor
33,gakusei,estudante
34,kaisha,empresa
35,shigoto,trabalho
36,ie,casa
37,gakkou,escola
38,byouin,hospital
39,eki,estação
40,michi,rua
41,kuruma,carro
42,densha,trem
43,hikouki,avião
44,mizu,água
45,gohan,arroz/refeição
46,tabemono,comida
47,nomimono,bebida
48,sakana,peixe
49,niku,carne
50,yasai,vegetal
51,kudamono,fruta
52,ocha,chá
53,kohii,café
54,hi,dia/sol
55,tsuki,lua/mês
56,toshi,ano
57,jikan,tempo/hora
58,kyou,hoje
59,ashita,amanhã
60,kinou,ontem
61,ima,agora
62,mae,antes/frente
63,ato,depois
64,asa,manhã
65,hiru,tarde/meio-dia
66,haru,primavera
67,natsu,verão
68,aki,outono
69,fuyu,inverno
70,ookii,grande
71,chiisai,pequeno
72,atarashii,novo
73,furui,velho
74,ii,bom
75,warui,ruim
76,takai,alto/caro
77,yasui,barato
78,hayai,rápido/cedo
79,osoi,lento/tarde
80,atsui,quente
81,samui,frio
82,tanoshii,divertido
83,kawaii,fofo
84,suki,gostar
85,kirai,não gostar/odiar
86,iku,ir
87,kuru,vir
88,taberu,comer
89,nomu,beber
90,miru,ver
91,kiku,ouvir
92,hanasu,falar
93,yomu,ler
94,kaku,escrever
95,suru,fazer
96,aru,ter/existir (coisas)
97,iru,ter/existir (seres vivos)
98,neru,dormir
99,okiru,acordar
100,hataraku,trabalhar
101,manabu,aprender
