japones,portugues
watashi,eu
anata,você
kare,ele
kanojo,ela
watashitachi,nós
kore,isto
sore,isso
are,aquilo
kono,este
sono,esse
ano,aquele
nan,o que
dare,quem
itsu,quando
doko,onde
naze,por que
dou,como
hai,sim
iie,não
arigatou,obrigado
sumimasen,desculpe
konnichiwa,olá
ohayou,bom dia
konbanwa,boa noite
oyasumi,boa noite (ao dormir)
sayounara,adeus
hito,pessoa
otoko,homem
onna,mulher
kodomo,criança
kazoku,família
tomodachi,amigo
sensei,professor
gakusei,estudante
kaisha,empresa
shigoto,trabalho
ie,casa
gakkou,escola
byouin,hospital
eki,estação
michi,rua
kuruma,carro
densha,trem
hikouki,avião
mizu,água
gohan,arroz/refeição
tabemono,comida
nomimono,bebida
sakana,peixe
niku,carne
yasai,vegetal
kudamono,fruta
ocha,chá
kohii,café
hi,dia/sol
tsuki,lua/mês
toshi,ano
jikan,tempo/hora
kyou,hoje
ashita,amanhã
kinou,ontem
ima,agora
mae,antes/frente
ato,depois
asa,manhã
hiru,tarde/meio-dia
yoru,noite
haru,primavera
natsu,verão
aki,outono
fuyu,inverno
ookii,grande
chiisai,pequeno
atarashii,novo
furui,velho
ii,bom
warui,ruim
takai,alto/caro
yasui,barato
hayai,rápido/cedo
osoi,lento/tarde
atsui,quente
samui,frio
tanoshii,divertido
kawaii,fofo
suki,gostar
kirai,não gostar/odiar
iku,ir
kuru,vir
taberu,comer
nomu,beber
miru,ver
kiku,ouvir
hanasu,falar
yomu,ler
kaku,escrever
suru,fazer
aru,ter/existir (coisas)
iru,ter/existir (seres vivos)
neru,dormir
okiru,acordar
hataraku,trabalhar
manabu,aprender
